WSJ1829:0	[Silicon Valley] :[/LOCATION] heaved a sigh of relief yesterday .

WSJ0759:12	Mr. [Ondaatje] :[/PERSON] could n't be reached for comment , but [Roy Mac-Laren] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , chairman of [CB Media] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , a closely held concern that publishes two business magazines , said his company would take a close look at the newspaper .

WSJ0759:13	Mr. [Cole] :[/PERSON] said the sale of the 77-year [Financial Times] :[/WORK_OF_ART,/WORK_OF_ART/BOOK] , which Southam has owned since 1961 , is consistent with [Southam] :[/ORGANIZATION/MUSEUM,/GPE/COUNTRY,/GPE,/SUBSTANCE/DRUG,/GPE/CITY,/LOCATION/REGION,/LOCATION,/FACILITY/AIRPORT,/ORGANIZATION/HOSPITAL,/LANGUAGE,/FACILITY/HIGHWAY_STREET,/PRODUCT,/PLANT,/SUBSTANCE/FOOD,/SUBSTANCE,/WORK_OF_ART,/ORGANIZATION/CORPORATION,/WORK_OF_ART/BOOK,/ORGANIZATION,/EVENT,/LOCATION/RIVER,/PRODUCT/WEAPON,/ORGANIZATION/EDUCATIONAL,/EVENT/WAR,/DISEASE,/PERSON,/FACILITY,/CONTACT_INFO,/CONTACT_INFO/url,/SUBSTANCE/CHEMICAL,/FACILITY/ATTRACTION,/GPE/STATE_PROVINCE,/PRODUCT/VEHICLE,/ORGANIZATION/RELIGIOUS,/WORK_OF_ART/SONG,/EVENT/HURRICANE] 's strategy of cutting costs to obtain maximum profits from its operations while disposing of `` chronically under-performing '' assets .

WSJ0759:14	[Southam] :[/PERSON] agreed to sell its 47 % stake in [Selkirk Communications Ltd.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , a broadcasting concern , to [Maclean Hunter Ltd.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] for about C $ 285 million last year .

WSJ0759:16	The [Financial Times of Canada] :[/WORK_OF_ART] has no links to the British daily newspaper , [The Financial Times] :[/WORK_OF_ART,/WORK_OF_ART/BOOK] .

WSJ0767:0	[Federal Communications Commission] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] allowed American Telephone & amp ; Telegraph Co. to continue offering discount phone services for large-business customers and said it would soon re-examine its regulation of the long-distance market .

WSJ0767:1	[FCC] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] moves were good news for AT & amp ; T , which has been striving since the breakup of the phone system for greater latitude in pricing and reduced regulation .

WSJ0767:2	[Alfred Sikes] :[/PERSON] , the new [FCC] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] chairman , championed deregulation of AT & amp ; T at his last job as head of a [Commerce Department] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] telecommunications agency .

WSJ0767:3	But it has been an open question whether Mr. [Sikes] :[/PERSON] , an extraordinarily cautious man , would continue pushing deregulation at the [FCC] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] in the face of what is likely to be great political pressure .

WSJ0767:4	`` It means that [Sikes] :[/PERSON] is serious about the deregulation of long distance , '' said [Jack Grubman] :[/PERSON] , a telecommunications analyst at [PaineWebber Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , who attended the [FCC] :[/PERSON] meeting .

WSJ0767:6	[FCC] :[/PERSON] took three specific actions regarding AT & amp ; T .

WSJ0767:7	[] :[/ORGANIZATION/EDUCATIONAL,/ORGANIZATION] [Tariff 12] :[/WORK_OF_ART] , rejecting appeals by AT & amp ; T competitors that the discounts were illegal .

WSJ0767:8	[Tariff 15] :[/WORK_OF_ART] , that AT & amp ; T offered to [Holiday Corp] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] .

WSJ0767:9	[Memphis] :[/GPE,/GPE/CITY] , [Tenn.] :[/GPE] , company that oversees [Holiday Inns] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , in response to a similar discount offered to [Holiday Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] by [MCI Communications Corp] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] .

WSJ0767:10	[MCI] :[/ORGANIZATION] 's offer had expired AT & amp ; T could n't continue to offer its discount plan .

WSJ0767:11	.

WSJ0767:12	[] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] [Joe Nacchio] :[/GPE] , AT & amp ; T 's vice president for business-communications services , said AT & amp ; T offered a similar [Tariff 15] :[/WORK_OF_ART] discount to [Resort Condominium International] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , of [Indianapolis] :[/GPE,/GPE/CITY] , to meet another [MCI] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] bid .

WSJ0767:13	The [FCC] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] `` did n't say I could n't do it again , '' he said .

WSJ0767:14	[Sikes] :[/PERSON] and the three other commissioners said they expect to re-examine how AT & amp ; T is regulated since competition has increased .

WSJ0767:15	[Richard Firestone] :[/PERSON] , chief of the [FCC] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] 's common-carrier bureau , said he expected the agency to propose new rules next year .

WSJ0767:16	[FCC] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] 's actions .

WSJ0767:17	`` The time is long overdue to take a look at the fierce competition in the long-distance business and the rules governing it , '' the [New York] :[/GPE] telecommunications firm said in a statement .

WSJ0767:18	[MCI] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , of [Washington] :[/GPE,/GPE/CITY] , was displeased with the FCC decision concerning [Tariff 12] :[/WORK_OF_ART] , arguing that `` AT & amp ; T can not be allowed to flaunt [FCC] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] rules . ''

WSJ0767:19	[United Telecommunications Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's [US Sprint] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] unit said it was `` obviously disappointed '' with the [FCC] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] decision on [Tariff 12] :[/WORK_OF_ART] .

WSJ0767:20	[US Sprint] :[/PERSON] said was it will petition the [FCC] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] decision in federal court .

WSJ0767:21	`` We believe that the court will find it unlawful , '' said a [US Sprint] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] spokesman .

WSJ0767:22	[MCI] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] accusing it of misleading consumers through allegedly `` false and deceptive '' advertising .

WSJ0767:23	.

WSJ0767:24	[] :[/EVENT,/EVENT/WAR] [MCI] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] sued AT & amp ; T in federal district court , claiming that AT & amp ; T 's ads are false .

WSJ0767:25	[Washington] :[/GPE,/GPE/CITY] , all visibly angry , to try to refute [MCI] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's charges .

WSJ0767:26	[] :[/DISEASE] [MCI] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] has made [hawks] :[/ORGANIZATION] out of the upper echelon of AT & amp ; T , '' said [PaineWebber] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's Mr. [Grubman] :[/PERSON] , who said he expected AT & amp ; T to become increasingly aggressive in dealing with its longtime nemesis .

WSJ0767:27	[Julie Amparano Lopez] :[/PERSON] in [Philadelphia] :[/GPE,/GPE/CITY] also contributed to this article .

WSJ0904:0	[Compaq Computer Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] said that its net income rose 51 % in the third quarter , bolstered by unusual gains from its investment in a disk-drive maker and reflecting continued growth in its European operations .

WSJ0904:3	The latest quarter 's results , however , included a pretax gain of $ 13.7 million , or 20 cents a share , in the carrying value of the company 's investment in [Conner Peripherals Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and a $ 7.6 million gain , or 11 cents a share , from the sale of one million [Conner] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] shares .

WSJ0904:6	Net for the year-earlier nine months also included a gain of $ 9.7 million , or 15 cents a share , in the carrying value of the [Conner] :[/ORGANIZATION] investment .

WSJ0904:7	[Michael Swavely] :[/WORK_OF_ART] , president of [Compaq] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's [North America] :[/LOCATION/CONTINENT,/LOCATION] division , attributed the company 's third-quarter performance to continued increases in international sales , which accounted for 43 % of the company 's sales , a 74 % increase from a year earlier .

WSJ0904:8	`` Over the next couple of years we would not be surprised to see [Europe] :[/LOCATION] and international { sales } represent 50 % of the company 's revenues , '' he said .

WSJ0904:9	During the third quarter , [Compaq] :[/ORGANIZATION] purchased a former [Wang Laboratories] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] manufacturing facility in [Stirling] :[/GPE,/GPE/CITY] , [Scotland] :[/GPE,/GPE/CITY] , which will be used for international service and repair operations .

WSJ0904:10	Mr. [Swavely] :[/PERSON] said the new space will allow [Compaq] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] to increase the manufacturing capacity of its plant in [Erskine] :[/GPE,/GPE/CITY] , [Scotland] :[/GPE,/GPE/CITY] .

WSJ0904:11	In [New York Stock Exchange] :[/ORGANIZATION] composite trading yesterday , [Compaq] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] shares fell $ 1.625 to $ 108.625 .

WSJ0907:0	[Chandler Insurance Co.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] said it expects to report third-quarter net income jumped 97 % to $ 2.8 million , or 51 cents a share .

WSJ0907:2	In an interview , [W. Brent LeGere] :[/PERSON] , chairman and chief executive officer , said he expects revenue in the latest quarter to total about $ 28 million .

WSJ0907:4	Mr. [LeGere] :[/PERSON] attributed the earnings increase to growth in the company 's longhaul trucking insurance lines and the ability to keep premium rates firm .

WSJ0908:0	[Calgon Carbon Corp.] :[/ORGANIZATION] said it will build a $ 40 million plant for producing granular activated [carbon] :[/SUBSTANCE] .

WSJ0908:1	The maker of water-treatment [chemicals] :[/SUBSTANCE] and equipment said it will select the plant site early next year , and production is expected to begin in 1991 .

WSJ0912:0	[Rochester Telephone Corp.] :[/ORGANIZATION] said it agreed to buy [Viroqua Telephone Co.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] of [Viroqua] :[/GPE,/GPE/CITY] , [Wis] :[/GPE] .

WSJ0912:2	[Rochester] :[/GPE,/GPE/CITY] will exchange shares of its common stock for all shares outstanding of [Viroqua Telephone] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , a family-owned company .

WSJ0912:3	[Viroqua] :[/ORGANIZATION] serves about 3,000 access lines in western [Wisconsin] :[/GPE,/GPE/STATE_PROVINCE] .

WSJ0915:0	[Duriron Co.] :[/ORGANIZATION] said it has agreed to buy [Automax Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , a [Cincinnati] :[/GPE,/GPE/CITY] maker of control accessories for industrial valves .

WSJ0915:1	Terms were n't disclosed , but [Duriron] :[/ORGANIZATION] said the deal will be completed through an exchange of stock .

WSJ0915:2	Closely held [Automax] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] has annual sales of about $ 10 million .

WSJ0915:3	[Duriron] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , a maker of pumps , valves and other controls , said the acquisition wo n't impact its 1989 profit .

WSJ2027:0	[Michael A. Gaskin] :[/PERSON] , 55 years old , was named president and chief executive officer of this manufacturer of industrial robots , succeeding [Walter K. Weisel] :[/PERSON] .

WSJ2027:1	Mr. [Weisel] :[/PERSON] , 49 , resigned as president and chief executive and will work on special projects , said [John J. Wallace] :[/PERSON] , chairman .

WSJ2027:2	[Gaskin] :[/PERSON] Inc. and was a director of [Prab Robots] :[/PERSON] since 1985 .

WSJ2029:0	This is written to correct a misquotation in your Oct. 3 article `` [Deaths From Advanced Colon Cancer Can Be Reduced by Using Two Drugs] :[/EVENT/WAR,/DISEASE,/LAW,/CONTACT_INFO,/CONTACT_INFO/url,/SUBSTANCE/CHEMICAL,/LOCATION,/SUBSTANCE/DRUG,/WORK_OF_ART/SONG,/PLANT,/SUBSTANCE,/WORK_OF_ART,/ORGANIZATION/CORPORATION,/WORK_OF_ART/BOOK,/ORGANIZATION,/EVENT] . ''

WSJ2029:1	In this article , I was alleged to have said , `` Any patient with high-risk colon [cancer] :[/DISEASE] is really getting short shrift if he 's not getting this therapy . ''

WSJ2029:3	I have not offered and will not offer routine therapy with the two [drugs] :[/SUBSTANCE/DRUG,/SUBSTANCE] , [levamisole] :[/SUBSTANCE] and [5-fluorouracil] :[/GPE] , to any of my colon-cancer patients .

WSJ2029:4	With this treatment we have reduced deaths in high-risk colon cancer by one-third -- but this leaves the two-thirds who are dying of [cancer] :[/LOCATION/REGION,/LOCATION,/LANGUAGE,/PRODUCT,/PLANT,/SUBSTANCE/FOOD,/SUBSTANCE,/WORK_OF_ART,/WORK_OF_ART/BOOK,/ORGANIZATION,/EVENT,/GAME,/PRODUCT/WEAPON,/ORGANIZATION/EDUCATIONAL,/DISEASE,/PERSON,/FACILITY/BUILDING,/FACILITY,/CONTACT_INFO,/CONTACT_INFO/url,/LAW,/PRODUCT/VEHICLE,/ORGANIZATION/RELIGIOUS,/WORK_OF_ART/SONG] .

WSJ2029:7	My statement , read verbatim from a printed text available to all reporters attending the [National Cancer Institute] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] news conference , was the following : `` New clinical trials are already in operation seeking to improve these results .

WSJ2029:9	I feel any patient with high-risk [cancer] :[/DISEASE] is getting short shrift if he is not offered this opportunity . ''

WSJ2029:10	We have very exciting prospects for far more impressive advances in the treatment of colon [cancer] :[/DISEASE] during the years immediately ahead .

WSJ2029:11	This hope , however , will never be realized if we use [levamisole] :[/SUBSTANCE] and [5-fluorouracil] :[/SUBSTANCE] as a stopping point .

WSJ2029:12	[Charles G. Moertel] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] M.D . [Mayo Clinic] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] [Rochester] :[/GPE,/GPE/CITY] , [Minn .] :[/GPE]

WSJ2031:0	[William Seidman] :[/PERSON] , chairman of the [Federal Deposit Insurance Corp.] :[/ORGANIZATION] , said Lincoln Savings & amp ; Loan Association should have been seized by the government in 1986 to contain losses that he estimated will cost taxpayers as much as $ 2 billion .

WSJ2031:1	Mr. [Seidman] :[/PERSON] , who has been the nation 's top bank regulator , inherited the problems of [Lincoln] :[/PERSON] , based in [Irvine] :[/GPE,/GPE/CITY] , [Calif.] :[/GPE] , after his regulatory role was expanded by the new savings-and-loan bailout law .

WSJ2031:2	He made his comments before [House Banking Committee] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] hearings to investigate what appears to be the biggest thrift disaster in a scandal-ridden industry .

WSJ2031:3	The inquiry also will cover the actions of [Charles Keating Jr.] :[/PERSON] , who is chairman of [American Continental Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , [Lincoln] :[/PERSON] 's parent , and who contributed heavily to several [U.S.] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] senators .

WSJ2031:4	Mr. [Seidman] :[/PERSON] told the committee that the [Resolution Trust Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , the agency created to sell sick thrifts , has studied [Lincoln] :[/PERSON] 's examination reports by former regulators dating back to 1986 .

WSJ2031:5	`` My staff indicated that had we made such findings in one of our own institutions , we would have sought an immediate cease-and-desist order to stop the hazardous operations , '' Mr. [Seidman] :[/PERSON] said .

WSJ2031:6	When [Lincoln] :[/PERSON] was seized by the government , for example , 15 % of its loans , or $ 250 million , were to borrowers who were buying real estate from one of [American Continental] :[/ORGANIZATION] 's 50 other subsidiaries , according to Mr. [Seidman] :[/PERSON] .

WSJ2031:7	But the government did n't step in until six months ago , when thrift officials put [Lincoln] :[/PERSON] into conservatorship -- the day after [American Continental] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] filed for [Chapter 11] :[/WORK_OF_ART] bankruptcy protection from creditors .

WSJ2031:10	`` I think it 's fairly clear { Mr. [Keating] :[/PERSON] } knew , '' that regulators were set to seize [Lincoln] :[/PERSON] , Mr. [Seidman] :[/PERSON] said .

WSJ2031:11	Further investigation , he said , may result in further actions against [Lincoln] :[/PERSON] 's executives , said Mr. [Seidman] :[/PERSON] , `` including fraud actions . ''

WSJ2031:12	Mr. [Keating] :[/PERSON] , for his part , has filed suit alleging that regulators unlawfully seized the thrift .

WSJ2031:13	[Leonard Bickwit] :[/PERSON] , an attorney in [Washington] :[/GPE,/GPE/CITY] for Mr. [Keating] :[/PERSON] , declined to comment on the hearings , except to say , `` We will be responding comprehensively in several forums to each of these allegations at the appropriate time . ''

WSJ2031:14	[Lincoln] :[/PERSON] 's treatment by former thrift regulators , in an agency disbanded by the new law , has proved embarrassing for five senators who received thousands of dollars in campaign contributions from Mr. [Keating] :[/PERSON] .

WSJ2031:15	Mr. Seidman said yesterday , for example , that Sen. [Dennis DeConcini] :[/PERSON] ( D. , [Ariz.] :[/GPE,/GPE/STATE_PROVINCE] ) , who received $ 48,100 in contributions from Mr. [Keating] :[/PERSON] , phoned Mr. [Seidman] :[/PERSON] to request that he push for a sale of [Lincoln] :[/PERSON] before it would be seized .

WSJ2031:16	After the government lawsuit was filed against [Lincoln] :[/PERSON] , Sen. [DeConcini] :[/PERSON] returned the campaign contributions .

WSJ2031:17	The senator 's spokesman said yesterday that he pushed for the sale of Lincoln because `` hundreds of [Arizona] :[/GPE,/GPE/STATE_PROVINCE] jobs { at [Lincoln] :[/PERSON] } were on the line . ''

WSJ2031:18	[Senate Banking Committee] :[/ORGANIZATION] Chairman [Donald Riegle] :[/PERSON] ( D. , [Mich .] :[/GPE,/GPE/STATE_PROVINCE] ) has also returned contributions he received from Mr. [Keating] :[/PERSON] a year ago .

WSJ2031:19	Sens . [John Glenn] :[/PERSON] ( D. , [Ohio] :[/GPE,/GPE/STATE_PROVINCE] ) , [John McCain] :[/PERSON] , ( R. , [Ariz.] :[/GPE,/GPE/STATE_PROVINCE] ) and [Alan Cranston] :[/PERSON] ( D. , Calif. ) also received substantial contributions from Mr. [Keating] :[/PERSON] and sought to intervene on behalf of [Lincoln] :[/PERSON] .

WSJ2031:20	[House Banking Committee] :[/ORGANIZATION] Chairman [Henry Gonzalez] :[/PERSON] ( D. , [Texas] :[/GPE,/GPE/STATE_PROVINCE] ) said Sen. [Cranston] :[/GPE,/GPE/CITY] volunteered to appear before the [House] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] committee , if necessary .

WSJ2031:22	At the hearing , Mr. [Seidman] :[/PERSON] said the [RTC] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] has already pumped $ 729 million into [Lincoln] :[/PERSON] for liquidity .

WSJ2031:23	He also held out little hope of restitution for purchasers of $ 225 million in [American Continental] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] subordinated debt .

WSJ2035:0	The following issues were recently filed with the [Securities and Exchange Commission] :[/ORGANIZATION] :

WSJ2035:1	[Canada] :[/GPE/COUNTRY,/GPE] 's [Province of Nova Scotia] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , shelf offering of up to $ 550 million of debentures .

WSJ2035:2	[Golar Gas Holding Co.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , a subsidiary of [Gotaas-Larsen Shipping Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , offering of $ 280 million first preferred ship mortgage notes , via [Merrill Lynch Capital Markets] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] .

WSJ2035:3	[] :[/PERSON] [First Boston Corp.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , and [Merrill Lynch] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] .

WSJ2035:4	[] :[/SUBSTANCE] [Shared Technologies Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , offering of 2.5 million common shares , via Smetek , Van Horn & amp ; Cormack Inc. and Oakes , Fitzwilliams & amp ; Co .

WSJ1050:0	[StatesWest Airlines] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , [Phoenix] :[/GPE,/GPE/CITY] , [Ariz.] :[/GPE,/GPE/STATE_PROVINCE] , said it sent a more detailed merger proposal to much-larger [Mesa Airlines] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] .

WSJ1050:1	[Farmington] :[/GPE] , N.M.-based [Mesa] :[/GPE,/GPE/CITY] has consistently rejected StatesWest 's offers , and early this week said its board would n't give the proposal further consideration , calling it `` vague and ill-defined '' because it did n't describe the source of funds or the specific terms of [StatesWest] :[/GPE/COUNTRY,/GPE,/DISEASE,/GPE/CITY,/FACILITY/BUILDING,/FACILITY,/LOCATION/REGION,/LOCATION,/FACILITY/AIRPORT,/FACILITY/ATTRACTION,/PRODUCT/VEHICLE,/SUBSTANCE/DRUG,/ORGANIZATION/RELIGIOUS,/PRODUCT,/SUBSTANCE,/WORK_OF_ART,/ORGANIZATION/CORPORATION,/WORK_OF_ART/BOOK,/ORGANIZATION,/EVENT,/ORGANIZATION/GOVERNMENT] securities which were part of the offer .

WSJ1050:2	The new letter purports to do this , saying that in addition to $ 7 a share in cash , StatesWest would offer one share of new 6 % convertible preferred stock of [StatesWest] :[/GPE,/SUBSTANCE/DRUG,/GPE/CITY,/ORGANIZATION/GOVERNMENT,/LOCATION/REGION,/LOCATION,/FACILITY/AIRPORT,/PRODUCT,/PLANT,/SUBSTANCE,/WORK_OF_ART,/ORGANIZATION/CORPORATION,/WORK_OF_ART/BOOK,/ORGANIZATION,/EVENT,/ORGANIZATION/EDUCATIONAL,/EVENT/WAR,/DISEASE,/PERSON,/FACILITY/BUILDING,/FACILITY,/SUBSTANCE/CHEMICAL,/FACILITY/ATTRACTION,/PRODUCT/VEHICLE,/WORK_OF_ART/SONG] it values at $ 3 a share .

WSJ1050:3	[StatesWest] :[/ORGANIZATION] 's own cash and short-term investments , plus debt and other financing arranged through Hibbard Brown & amp ; Co. , the company 's investment banker .

WSJ1050:4	In national over-the-counter trading yesterday , [Mesa] :[/GPE] closed at $ 7.25 , up 25 cents .

WSJ1050:5	[StatesWest] :[/ORGANIZATION] asked [Mesa] :[/GPE,/GPE/CITY] to repond by Oct. 31 .

WSJ1050:6	[Mesa] :[/GPE,/GPE/CITY] President [Larry Risley] :[/PERSON] said his board had received [Stateswest] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] 's most recent offer and was reviewing it .

WSJ1057:0	One day last March , [CBS Sports] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] President [Neal Pilson] :[/PERSON] and [Olympics] :[/EVENT] superagent [Barry Frank] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] met for lunch at the [Lotos Club] :[/ORGANIZATION] here .

WSJ1057:1	Mr. [Frank] :[/PERSON] told Mr. [Pilson] :[/PERSON] that [Olympics] :[/EVENT] officials wanted $ 290 million or more for TV rights to the 1994 [Winter Games] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] in [Norway] :[/GPE/COUNTRY,/GPE] .

WSJ1057:2	The [CBS] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] official said that price sounded fine .

WSJ1057:3	At that price , [CBS] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] was the only player at the table when negotiations with the [International Olympic Committee] :[/ORGANIZATION] started in [Toronto] :[/GPE,/GPE/CITY] Aug. 23 .

WSJ1057:4	[Dick Pound] :[/PERSON] , a committee member , began by disclosing that [ABC] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and [NBC] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] had refused to even bid .

WSJ1057:5	Then , he asked Mr. [Pilson] :[/PERSON] to raise his offer anyway : `` If we can have a number that starts with a three , you can have a dea . ''

WSJ1057:6	Mr. [Pilson] :[/PERSON] and his team huddled in a hallway and took just 10 minutes to return with a $ 300 million offer .

WSJ1057:7	Mr . [Pound] :[/PERSON] responded , `` It 's a deal . ''

WSJ1057:8	A beaming Mr. [Pilson] :[/PERSON] announced his lastest coup at a news conference that afternoon .

WSJ1057:9	Mr. [Pilson] :[/PERSON] 's rivals at [ABC] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and [NBC] :[/ORGANIZATION] grimaced at the price .

WSJ1057:10	How could [CBS] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] get pushed into outbidding itself ?

WSJ1057:11	Well , [CBS] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , mired in the ratings cellar and looking to sports as a way out , wanted to close the deal immediately and block its rivals from getting another chance to bid .

WSJ1057:12	But Mr. [Pilson] :[/PERSON] has been put in the uncomfortable role of setting off a bidding frenzy for sports rights , a frenzy that the networks had hoped to avoid .

WSJ1057:13	`` The price of [poker] :[/SUBSTANCE/DRUG,/SUBSTANCE] has gone up , '' crows [Charles M. Neinas] :[/PERSON] , the [College Football Association] :[/ORGANIZATION] 's executive director .

WSJ1057:14	With [CBS Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] on a spending spree that may top $ 2.5 billion for four years of major sports events , the new bout of hyperinflation could jolt the entire broadcast business .

WSJ1057:15	[CBS] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] itself could run up losses of a few hundred million dollars on four years of various sports if its big gamble goes wrong .

WSJ1057:16	[ABC] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , a unit of [Capital Cities\/ABC Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] , and [General Electric Co.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] 's [National Broadcasting Co.] :[/ORGANIZATION] also risk losses if they outbid [CBS] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] for other contracts .

WSJ1057:19	[Paul Isacsson] :[/PERSON] of Young & amp ; Rubicam .

WSJ1057:24	[CBS] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] has changed the rules by throwing out the old basis for sports bids -- that is , can the network alone make a profit on it ?

WSJ1057:25	Mr. [Pilson] :[/PERSON] emphasizes the ancillary benefits of positive press , contented affiliate stations , enthusiastic advertisers and huge audiences that might stick around to watch other [CBS] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] programs when the game is over .

WSJ1057:27	Some TV people doubt they will materialize and argue that even if they do , they wo n't offset the multimillion-dollar deficits that [CBS] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] could run up .

WSJ1057:28	`` As we 've seen in the '80s , '' says [Roger Werner] :[/PERSON] , the president of the [ESPN] :[/WORK_OF_ART] sports channel , `` those deals can turn sour if the numbers do n't work .

WSJ1057:30	CBS pursues top sports `` to belie the fact that they are n't supporting affiliates , viewers and advertisers , '' charges [Thomas H. Wyman] :[/PERSON] , who was ousted as chairman of [CBS Inc.] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] Inc. after [Laurence A. Tisch] :[/ORGANIZATION] bought a 24.9 % stake in the company and took over three years ago .

WSJ1057:33	On just three big deals -- for four years of [baseball] :[/ORGANIZATION] and for the [Olympic Winter Games] :[/ORGANIZATION/GOVERNMENT,/ORGANIZATION] in both 1992 and 1994 -- [Pilson] :[/PERSON] bid a total of $ 1.64 billion .

WSJ1057:34	That 's well over half a billion dollars more than [ABC] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] and [NBC] :[/ORGANIZATION/CORPORATION,/ORGANIZATION] were willing to pay .

WSJ1057:35	( After 1992 , the winter and summer [Olympics] :[/EVENT] will be held two years apart , with the revised schedule beginning with the winter games in 1994 and the summer games in 1996 . )

WSJ1057:36	Now , Mr. [Pilson] :[/PERSON] -- a former college [basketball] :[/PERSON] player who says a good negotiator needs `` a level of focus and intellectual attention '' similar to a good athlete-s is facing the consequences of his own aggressiveness .

